Dis_r       Dis_i      Devide_Dis        F_r      F_i      D_f       fit_norm		Cr         Fw         Fa			
2.86996		27.8257       0.906503       6.58979e+06        5.29064e+06        -1.29915e+06         2.29062			0.960114          0.450518            0.510337
9.22458		28.9851       0.75858       5.74565e+06        4.82377e+06        -921877         3.64726			0.952962          0.450518            1
32.1826		62.1089       0.658691       6.58979e+06        4.22138e+06        -2.36841e+06         24.5889			0.960114          0.450518            0.474197
71.173		65.7777       0.480302       4.06039e+06        7.3977e+06        3.33731e+06         0.110086			0.954824          0.450518            0.634248
3.62763		37.9058       0.912658       8.08941e+06        7.47396e+06        -615445         1.2361			0.960114          0.450518            0.435994
3.83864		52.0837       0.931358       7.57601e+06        7.84837e+06        272361         0.92693			0.9          0.450518            0.930058
11.0176		36.7608       0.769401       5.771e+06        5.71153e+06        -59465.5         1.04068			0.9          0.450518            1
57.8647		28.847       0.332677       6.32542e+06        5.16478e+06        -1.16063e+06         4.40351			0.960114          0.450518            0.474211
6.29146		14.789       0.701551       7.89906e+06        6.6323e+06        -1.26676e+06         1.69677			0.952962          0.450518            0.534933
26.0085		35.8074       0.579259       7.02426e+06        5.97976e+06        -1.0445e+06         1.42826			0.954824          0.450518            0.550007
12.922		18.2451       0.585397       6.46761e+06        5.82558e+06        -642030         1.63938			0.954824          0.450518            0.646393
16.6688		4.45658       0.210959       5.06117e+06        5.1261e+06        64930.4         0.916772			0.952962          0.450518            0.600025
30.345		44.8054       0.59621       7.49812e+06        6.52387e+06        -974244         1.5391			0.9          0.450518            0.96582
51.0764		54.3376       0.515469       8.59071e+06        5.45528e+06        -3.13543e+06         3.70386			0.954824          0.450518            0.701306
2.82171		14.9939       0.841616       5.31863e+06        5.94671e+06        628082         0.663602			0.9          0.450518            0.829705
42.3363		73.7382       0.635266       5.25903e+06        3.54085e+06        -1.71819e+06         -1.04246			0.956932          0.450518            0.203889
